Section,n,avg degree,avg geodesic len,num components,largest component size
1,11,5.090909090909091,1.5636363636363637,1,11
2,11,5.090909090909091,1.5636363636363637,2,11
3,11,5.2727272727272725,1.5454545454545454,2,11
4,11,5.2727272727272725,1.5454545454545454,2,11
5,18,4.222222222222222,2.549019607843137,2,18
6,18,4.222222222222222,2.549019607843137,3,18
7,18,4.333333333333333,2.0588235294117645,5,18
8,21,4.190476190476191,2.157142857142857,5,21
9,21,4.190476190476191,2.157142857142857,6,21
10,21,4.190476190476191,2.157142857142857,7,21
11,21,4.190476190476191,2.157142857142857,8,21
12,21,4.571428571428571,2.0238095238095237,9,21
13,21,4.571428571428571,2.0238095238095237,9,21
14,24,4.416666666666667,2.246376811594203,9,24
15,39,5.6923076923076925,2.2847503373819165,6,39
16,39,5.6923076923076925,2.2847503373819165,6,39
17,39,5.743589743589744,2.283400809716599,6,39
18,40,5.65,2.341025641025641,6,40
19,40,5.65,2.341025641025641,6,40
20,41,5.7560975609756095,2.3536585365853657,6,41
21,41,5.7560975609756095,2.3536585365853657,6,41
22,50,6.0,2.5795918367346937,7,50
23,51,5.921568627450981,2.5992156862745097,7,51
24,51,5.921568627450981,2.5992156862745097,7,51
25,51,5.921568627450981,2.5992156862745097,7,51
26,51,5.921568627450981,2.5992156862745097,8,51
27,51,5.921568627450981,2.5992156862745097,8,51
28,55,6.036363636363636,2.5986531986531984,8,55
29,55,6.036363636363636,2.5986531986531984,9,55
30,55,6.036363636363636,2.5986531986531984,9,55
31,62,5.774193548387097,2.956636700158646,7,62
32,62,5.774193548387097,2.956636700158646,7,62
33,62,5.838709677419355,2.9455314648334214,7,62
34,62,6.225806451612903,2.8863035430988893,7,62
35,62,6.225806451612903,2.8863035430988893,7,62
36,72,6.861111111111111,2.850156494522692,8,72
37,72,6.916666666666667,2.772300469483568,8,72
38,86,7.3023255813953485,2.7808481532147744,8,86
39,88,7.454545454545454,2.7620167189132707,8,88
40,89,7.415730337078652,2.790347293156282,8,89
41,89,7.415730337078652,2.790347293156282,8,89
42,89,7.415730337078652,2.790347293156282,8,89
43,101,6.99009900990099,3.345346534653465,8,101
44,101,6.99009900990099,3.345346534653465,8,101
45,101,6.99009900990099,3.345346534653465,8,101
46,101,6.99009900990099,3.345346534653465,9,101
47,101,6.99009900990099,3.345346534653465,9,101
48,101,7.00990099009901,3.337227722772277,9,101
49,101,7.00990099009901,3.337227722772277,9,101
50,101,7.00990099009901,3.337227722772277,9,101
51,102,7.098039215686274,3.3308095515433895,9,102
52,103,7.048543689320389,3.331810394060537,9,103
53,103,7.12621359223301,3.316961736150771,9,103
54,103,7.12621359223301,3.316961736150771,10,103
55,109,6.844036697247707,3.4821610601427113,10,109
56,109,7.009174311926605,3.4638124362895004,11,109
57,110,7.0181818181818185,3.4437030859049207,12,110
58,111,7.2792792792792795,3.4247338247338246,12,111
59,129,6.775193798449612,3.6228197674418605,7,129
60,131,6.870229007633588,3.6189078097475043,7,131
61,132,6.833333333333333,3.621906083738145,7,132
62,132,6.833333333333333,3.621906083738145,7,132
63,132,6.848484848484849,3.6206338191071015,7,132
64,132,6.848484848484849,3.6206338191071015,7,132
65,136,6.867647058823529,3.617864923747277,7,136
66,136,6.867647058823529,3.617864923747277,7,136
67,138,7.202898550724638,3.5491378398392044,6,138
68,139,7.410071942446043,3.5310186633302054,6,139
69,142,7.746478873239437,3.1822994705823593,5,142
70,143,7.874125874125874,3.1716733970255095,5,143
71,145,8.055172413793104,3.1373563218390803,5,145
72,146,8.10958904109589,3.0874822862541333,5,146
73,164,8.024390243902438,3.2554242106838247,4,164
74,164,8.048780487804878,3.25527457728565,4,164
75,164,8.048780487804878,3.25527457728565,4,164
76,165,8.715151515151515,3.0938654841093864,5,165
77,168,8.976190476190476,2.927216994582264,5,168
78,168,8.976190476190476,2.927216994582264,5,168
79,168,8.976190476190476,2.927216994582264,5,168
80,168,8.976190476190476,2.927216994582264,5,168
81,168,8.988095238095237,2.9264328485885374,5,168
82,168,8.988095238095237,2.9264328485885374,5,168
83,168,8.988095238095237,2.9264328485885374,5,168
84,171,9.309941520467836,2.91530787753698,5,171
85,172,9.325581395348838,2.9183326533387732,5,172
86,172,9.348837209302326,2.916360669114647,5,172
87,172,9.418604651162791,2.915612675098599,5,172
88,172,9.44186046511628,2.9151366789065687,5,172
89,173,9.583815028901734,2.9022045973921227,5,173
90,173,9.630057803468208,2.8881570103508536,5,173
91,174,9.620689655172415,2.884658826656036,5,174
92,174,9.74712643678161,2.8772174606338448,5,174
93,175,9.714285714285714,2.869885057471264,5,175
94,175,9.82857142857143,2.868440065681445,5,175
95,178,9.719101123595506,2.8807846124547707,5,178
96,178,9.730337078651685,2.8800863327620134,5,178
97,181,10.05524861878453,2.8571516267648867,5,181
98,181,10.143646408839778,2.8464702271332105,5,181
99,181,10.143646408839778,2.8464702271332105,5,181
100,183,10.087431693989071,2.861106107007746,6,183
101,184,10.065217391304348,2.8636849607982895,6,184
102,184,10.065217391304348,2.8636849607982895,6,184
103,184,10.152173913043478,2.8576265146115465,6,184
104,186,10.075268817204302,2.86922406277245,6,186
105,188,10.606382978723405,2.8226191830697465,5,188
106,189,10.603174603174603,2.824833952493527,5,189
107,189,10.634920634920634,2.82010582010582,5,189
108,189,10.71957671957672,2.8105369807497467,5,189
109,189,10.71957671957672,2.8105369807497467,5,189
110,189,10.74074074074074,2.791624451198919,5,189
111,189,10.804232804232804,2.7872903298435214,5,189
112,189,10.867724867724867,2.7839693797140606,5,189
113,189,10.867724867724867,2.7839693797140606,5,189
114,189,10.867724867724867,2.7839693797140606,5,189
115,190,10.852631578947369,2.7829016986911723,5,190
116,190,10.852631578947369,2.7829016986911723,5,190
117,190,11.021052631578947,2.778947368421053,5,190
118,190,11.021052631578947,2.778947368421053,5,190
119,190,11.08421052631579,2.762907268170426,5,190
120,190,11.094736842105263,2.7624617098301307,5,190
121,191,11.078534031413612,2.762193441719482,5,191
122,191,11.078534031413612,2.762193441719482,5,191
123,192,11.510416666666666,2.7452006980802794,5,192
124,192,11.510416666666666,2.7452006980802794,5,192
125,193,11.709844559585493,2.723715457685665,5,193
126,193,11.751295336787564,2.713136873920553,5,193
127,193,11.854922279792746,2.712219343696028,5,193
128,193,12.020725388601036,2.6871221934369602,5,193
129,194,11.97938144329897,2.6885315955344264,5,194
130,194,12.278350515463918,2.6751241920837563,5,194
131,194,12.474226804123711,2.6635863468831795,5,194
132,195,12.430769230769231,2.665239228125826,5,195
133,195,12.502564102564103,2.6621200105736187,5,195
134,195,12.574358974358974,2.6546656093047845,5,195
135,195,12.615384615384615,2.6538725878932063,5,195
136,196,12.561224489795919,2.663317634746206,5,196
137,196,12.591836734693878,2.66138147566719,5,196
138,196,12.591836734693878,2.66138147566719,5,196
139,196,12.591836734693878,2.66138147566719,5,196
140,196,12.591836734693878,2.66138147566719,5,196
141,196,12.591836734693878,2.66138147566719,5,196
142,196,12.591836734693878,2.66138147566719,5,196
143,196,12.724489795918368,2.65578231292517,5,196
144,196,12.775510204081632,2.6506017791732077,5,196
145,196,12.775510204081632,2.6506017791732077,5,196
146,196,12.775510204081632,2.6506017791732077,5,196
147,196,12.775510204081632,2.6506017791732077,5,196
148,196,12.775510204081632,2.6506017791732077,5,196
149,197,12.730964467005077,2.662591940329431,5,197
150,197,12.730964467005077,2.662591940329431,5,197
151,197,12.761421319796954,2.661400600849477,5,197
152,201,12.63681592039801,2.6866169154228854,5,201
153,201,12.63681592039801,2.6866169154228854,5,201
154,201,12.64676616915423,2.6865671641791047,5,201
155,201,12.7363184079602,2.6827860696517414,5,201
156,201,12.7363184079602,2.6827860696517414,5,201
157,201,12.7363184079602,2.6827860696517414,5,201
158,203,12.699507389162562,2.6907281861191046,5,203
159,205,12.809756097560976,2.6877092300334766,5,205
160,205,12.839024390243903,2.686083213773314,5,205
161,205,12.858536585365854,2.6829746532759446,6,205
162,205,12.887804878048781,2.6817790530846484,6,205
163,205,12.907317073170733,2.6814921090387376,6,205
164,205,12.975609756097562,2.6798660927785747,6,205
165,205,13.004878048780487,2.676805356288857,6,205
166,205,13.180487804878048,2.672309899569584,6,205
167,207,13.14975845410628,2.66999671685193,6,207
168,208,13.346153846153847,2.6593273875882573,6,208
169,211,13.24170616113744,2.662559241706161,6,211
170,211,13.251184834123222,2.662468968630106,6,211
171,211,13.260663507109005,2.661521101331528,6,211
172,211,13.27962085308057,2.660708643647032,6,211
173,211,13.308056872037914,2.6501466937485896,6,211
174,211,13.402843601895734,2.6481155495373505,6,211
175,213,13.333333333333334,2.6576756134290016,6,213
176,217,13.271889400921658,2.653780508619218,5,217
177,217,13.290322580645162,2.653652500426694,5,217
178,217,13.308755760368664,2.649385560675883,5,217
