Section,n,avg degree,avg geodesic len,num components,largest component size
52,2,1.0,1.0,1,2
102,2,1.0,1.0,1,2
2,2,1.0,1.0,2,2
83,4,2.0,1.3333333333333333,2,4
81,8,3.25,1.6428571428571428,3,8
7,9,3.111111111111111,1.7777777777777777,5,9
10,9,3.111111111111111,1.7777777777777777,6,9
21,9,3.111111111111111,1.7777777777777777,7,9
47,10,3.0,1.8444444444444446,7,10
54,10,3.0,1.8444444444444446,10,10
25,10,3.0,1.8444444444444446,11,10
66,10,3.0,1.8444444444444446,12,10
46,10,3.0,1.8444444444444446,13,10
18,10,3.0,1.8444444444444446,14,10
43,13,3.5384615384615383,2.2435897435897436,15,13
11,13,3.5384615384615383,2.2435897435897436,16,13
32,13,3.5384615384615383,2.2435897435897436,16,13
45,13,3.5384615384615383,2.2435897435897436,16,13
49,13,3.5384615384615383,2.2435897435897436,16,13
78,13,3.5384615384615383,2.2435897435897436,16,13
109,13,3.5384615384615383,2.2435897435897436,17,13
22,34,4.294117647058823,3.251336898395722,16,34
50,34,4.294117647058823,3.251336898395722,16,34
6,34,4.294117647058823,3.251336898395722,17,34
12,34,4.352941176470588,3.249554367201426,18,34
19,34,4.352941176470588,3.249554367201426,18,34
24,34,4.352941176470588,3.249554367201426,18,34
26,34,4.352941176470588,3.249554367201426,19,34
28,41,4.536585365853658,3.3109756097560976,17,41
42,41,4.536585365853658,3.3109756097560976,18,41
62,41,4.536585365853658,3.3109756097560976,18,41
64,41,4.536585365853658,3.3109756097560976,18,41
71,47,5.191489361702128,3.3432007400555044,17,47
74,49,5.142857142857143,3.332482993197279,16,49
9,49,5.142857142857143,3.332482993197279,15,49
13,49,5.142857142857143,3.332482993197279,15,49
16,49,5.142857142857143,3.332482993197279,15,49
27,49,5.142857142857143,3.332482993197279,15,49
30,49,5.142857142857143,3.332482993197279,15,49
31,57,4.87719298245614,3.6842105263157894,13,57
33,57,4.947368421052632,3.6503759398496243,13,57
35,57,4.947368421052632,3.6503759398496243,13,57
37,57,5.017543859649122,3.5281954887218046,13,57
40,58,5.0,3.5456745311554747,13,58
41,58,5.0,3.5456745311554747,13,58
75,58,5.0,3.5456745311554747,13,58
80,58,5.0,3.5456745311554747,13,58
91,59,5.0508474576271185,3.5341905318527176,13,59
99,59,5.0508474576271185,3.5341905318527176,13,59
101,60,5.066666666666666,3.535593220338983,13,60
104,62,5.0,3.548915917503966,13,62
106,63,5.079365079365079,3.5463389656938045,13,63
126,64,5.125,3.5342261904761907,13,64
8,67,5.044776119402985,3.585255540479421,12,67
17,67,5.044776119402985,3.585255540479421,12,67
95,73,4.821917808219178,3.769786910197869,11,73
48,73,4.8493150684931505,3.6967275494672753,11,73
14,74,4.864864864864865,3.6679007774898187,11,74
15,84,5.523809523809524,3.621342512908778,10,84
39,88,5.659090909090909,3.5901253918495297,10,88
51,88,5.954545454545454,3.5420585161964473,10,88
56,89,6.112359550561798,3.5199182839632277,12,89
96,90,6.111111111111111,3.5116104868913856,11,90
23,91,6.065934065934066,3.5067155067155067,10,91
20,92,6.086956521739131,3.5057333970377447,10,92
34,92,6.304347826086956,3.4971333014811274,10,92
36,100,6.74,3.4644444444444447,10,100
38,112,7.178571428571429,3.445945945945946,9,112
44,112,7.178571428571429,3.445945945945946,9,112
29,112,7.178571428571429,3.445945945945946,10,112
57,113,7.20353982300885,3.361251580278129,11,113
110,113,7.256637168141593,3.3219026548672566,11,113
53,113,7.3097345132743365,3.315423514538559,11,113
55,118,7.084745762711864,3.449369839200348,11,118
59,135,6.681481481481481,3.633720287451631,6,135
60,137,6.773722627737226,3.6342851009016743,6,137
67,138,7.101449275362318,3.5662752565323177,6,138
69,141,7.432624113475177,3.25694022289767,5,141
58,142,7.619718309859155,3.2426331035860554,5,142
68,143,7.8321678321678325,3.228602383531961,5,143
70,144,7.958333333333333,3.2183372183372185,5,144
73,162,7.888888888888889,3.3591749098995476,4,162
61,163,7.852760736196319,3.362872074528516,4,163
63,163,7.852760736196319,3.362872074528516,4,163
65,167,7.832335329341317,3.356323497583147,4,167
76,168,8.488095238095237,3.178428856572569,5,168
98,169,8.591715976331361,3.1282755705832628,5,169
100,171,8.584795321637428,3.115995872033024,6,171
84,174,8.908045977011493,3.0950767390871037,6,174
85,175,8.925714285714285,3.097274220032841,6,175
86,176,8.897727272727273,3.0996103896103895,6,176
87,176,8.965909090909092,3.098896103896104,6,176
88,176,8.988636363636363,3.098766233766234,6,176
89,177,9.11864406779661,3.0826913199794554,6,177
90,177,9.163841807909604,3.0668977914740627,6,177
92,177,9.288135593220339,3.0597714432460195,6,177
94,177,9.401129943502825,3.0575243965074472,6,177
77,178,9.674157303370787,2.937027867707738,6,178
79,178,9.674157303370787,2.937027867707738,6,178
82,178,9.674157303370787,2.937027867707738,6,178
93,178,9.674157303370787,2.937027867707738,6,178
97,181,10.0,2.910558624923266,6,181
103,181,10.088397790055248,2.9032535297728668,6,181
111,181,10.165745856353592,2.8971147943523636,6,181
105,183,10.699453551912569,2.848195520326668,5,183
147,183,10.699453551912569,2.848195520326668,5,183
149,184,10.66304347826087,2.8593490140175812,5,184
150,184,10.66304347826087,2.8593490140175812,5,184
116,184,10.66304347826087,2.8593490140175812,5,184
122,184,10.66304347826087,2.8593490140175812,5,184
118,184,10.66304347826087,2.8593490140175812,5,184
